feature,fold_1_gain,fold_1_split,fold_2_gain,fold_2_split,fold_3_gain,fold_3_split,fold_4_gain,fold_4_split,fold_5_gain,fold_5_split,fold_6_gain,fold_6_split,fold_7_gain,fold_7_split,fold_8_gain,fold_8_split,fold_9_gain,fold_9_split,fold_10_gain,fold_10_split,fold_11_gain,fold_11_split,fold_12_gain,fold_12_split,fold_13_gain,fold_13_split,fold_14_gain,fold_14_split,fold_15_gain,fold_15_split,fold_16_gain,fold_16_split,fold_17_gain,fold_17_split,fold_18_gain,fold_18_split,fold_19_gain,fold_19_split,fold_20_gain,fold_20_split,fold_21_gain,fold_21_split,fold_22_gain,fold_22_split,fold_23_gain,fold_23_split,fold_24_gain,fold_24_split,fold_25_gain,fold_25_split,fold_26_gain,fold_26_split,fold_27_gain,fold_27_split,fold_28_gain,fold_28_split,fold_29_gain,fold_29_split,fold_30_gain,fold_30_split,fold_31_gain,fold_31_split,fold_32_gain,fold_32_split,fold_33_gain,fold_33_split,fold_34_gain,fold_34_split,fold_35_gain,fold_35_split
market_breadth_pos_return_4h_3,1401.1123502254486,91,884.7508897781372,60,416.0807901620865,37,1085.6583647727966,54,294.5344982147217,22,381.59209966659546,27,1578.8024277687073,85,1858.9282178655267,116,1222.3961367607117,79,2841.9994547367096,198,1534.4484996795654,91,1582.4139819145203,91,961.9108395576477,57,2966.512861251831,145,941.8003413677216,54,4918.8867444992065,252,3364.2853240966797,191,4893.519196033478,282,6990.053273677826,446,8263.222455978394,502,7757.06462931633,481,7144.39978313446,413,5825.018136262894,348,5627.742825984955,336,1954.055809020996,104,1951.2534456253052,98,2200.011164665222,105,2330.7271037101746,111,2570.809048652649,124,1296.226806640625,59,1592.810700416565,68,2440.598991394043,121,1983.9428873062134,94,1177.0507946014404,53,947.763801574707,37
premium_index_change_24h,2287.858468860388,161,1169.2651473283768,80,1079.2302992343903,76,1040.697081565857,60,1221.2971172332764,68,928.1255583763123,52,1731.1553888320923,109,2153.128682613373,144,2398.3878722190857,154,4125.87051653862,295,1680.0107040405273,106,1800.1667504310608,113,1326.3953127861023,81,2230.6143798828125,110,861.7371034622192,55,3474.5529499053955,179,4062.6473813056946,210,5231.468643665314,281,7598.559908390045,448,7440.847777843475,452,6896.81001496315,440,6142.049237251282,343,5568.225810050964,325,5072.184582233429,307,2185.230396270752,113,1930.2250938415527,103,1501.3697004318237,81,1271.8887042999268,71,2043.083487033844,112,1049.351396560669,56,1348.6014051437378,60,3097.4567952156067,156,2465.840001106262,117,1335.9317979812622,59,1066.0569047927856,47
price_position_1h,1252.7467548847198,78,2028.6045661270618,70,1080.8707547783852,58,3294.654782295227,97,3098.2882009148598,84,1438.2818870544434,61,2624.9849462509155,85,3748.942298412323,123,2740.3140954971313,113,4914.011123627424,194,2801.0444111824036,98,3012.4024708271027,99,3009.2221536636353,76,3124.4118189811707,102,2500.160354614258,57,4099.180356025696,148,4441.531270503998,154,5170.62619715929,182,5656.011335551739,263,4833.767635703087,244,5314.920778185129,280,4982.450989842415,224,3529.410239368677,183,4329.291746020317,213,1619.6189947128296,56,1674.965087890625,57,1462.6034212112427,52,1322.2912979125977,52,1380.7332029342651,53,894.1527976989746,33,1680.2908248901367,55,2422.2545881271362,72,2667.1495122909546,80,1252.9595947265625,35,1507.088788986206,47
price_position_4h,1900.0993864536285,131,605.484931781888,46,1024.2647125720978,80,1938.8066802024841,94,1385.328664302826,82,1635.174925327301,100,1961.2549325227737,105,2687.7919375896454,169,2523.6081929579377,151,3784.66215467453,280,1483.562961101532,85,1480.6957716941833,90,1028.4530267715454,62,1657.0733966827393,91,1012.2582964897156,53,2411.339415550232,143,2242.9716498851776,125,2894.1074550151825,180,4842.946478575468,347,4338.329204708338,326,4736.049504876137,357,3320.4425085783005,235,3594.9320480823517,226,3653.4353917762637,221,1709.3072428703308,58,1877.499273300171,54,1822.8699970245361,53,1996.9383745193481,47,2130.0752353668213,62,2545.0464544296265,57,1687.9434051513672,34,2386.613079071045,75,2356.13907623291,76,3086.4255867004395,56,2462.99697971344,46
range_center_distance_atr_1h_48,1453.4743704795837,101,1615.2264428138733,76,455.8200569152832,43,2347.7932443618774,92,941.2898387908936,53,899.6838357448578,59,5266.138965606689,129,5853.471832275391,185,8164.263622760773,199,7055.237224459648,270,6993.532605648041,142,6564.078827500343,133,4096.225396156311,75,3988.372232437134,85,4067.7287826538086,66,3962.561764240265,129,2960.174831867218,150,3767.4900336265564,182,6567.4270186424255,350,13275.09345984459,378,14758.313206374645,413,12052.448186397552,324,17306.827412620187,356,19644.05185765028,342,17047.58784389496,158,22838.13383293152,166,25912.28408718109,198,26061.586519241333,230,24996.70506286621,276,25158.182136535645,196,22713.653453826904,169,27259.79435634613,271,23553.450506210327,230,21194.117361068726,141,20189.615198135376,115
realized_vol_4h_returns_20,13849.583940118551,543,7618.748923778534,315,7195.1598482728,242,11058.497686624527,349,8500.300127983093,274,8548.08446341753,286,10205.580482959747,466,14385.48789691925,721,14441.15689444542,690,17226.599343061447,988,9698.555470943451,494,8547.437991142273,441,8194.419959545135,400,7335.801145553589,320,6052.61891412735,281,11020.386632442474,498,10311.749954223633,493,14006.427355647087,708,21074.92828078568,1216,20721.040930867195,1241,19086.17917060852,1124,16355.656978901476,915,18832.955237150192,995,18594.768167972565,1016,8472.609093666077,361,10194.481081962585,389,11390.334503173828,443,10772.597652435303,387,12130.814288139343,460,7850.371883392334,261,6894.7980098724365,235,11709.828323364258,455,9406.70988368988,360,6746.024381637573,227,5987.856894493103,177
return_4h_14,10530.151717722416,523,4783.389418005943,234,4128.421713769436,225,3640.1596541404724,162,3376.1523979604244,172,3375.2708230912685,164,5350.104300737381,275,6653.182265520096,363,4613.153455018997,274,6743.760827064514,441,3322.0435376167297,186,2995.679431915283,175,2456.23429107666,132,2677.1170387268066,126,2017.3695631027222,107,4544.896742999554,230,4559.450342655182,245,6081.59925699234,339,9830.194487214088,598,14131.022508949041,702,14436.826522648335,713,12835.480825349689,576,14011.024045526981,546,14029.317113757133,578,8178.679990768433,238,7347.2256898880005,202,7657.409401893616,208,8744.324007987976,247,8801.680461883545,282,5871.47739982605,161,6285.779887199402,167,8491.077321529388,276,7945.38765335083,230,5217.909183502197,139,5615.196406364441,136
rsi_1h,1691.8087494969368,96,1158.6847123801708,52,1128.3902544379234,59,3286.422351360321,68,1014.606255531311,39,654.5993766784668,38,4726.686043262482,99,5813.300567388535,122,5497.8943791389465,128,9049.758677959442,186,5750.0108551979065,103,6084.304581642151,112,6611.609531402588,90,3897.357907295227,77,6275.384865760803,78,3490.5467262268066,105,4192.510312080383,106,4764.452254295349,120,5237.410654067993,170,5348.150297522545,178,6626.268022537231,182,4978.629123687744,136,5791.074505329132,175,7323.515694141388,183,3590.7418174743652,77,4329.742393493652,78,5797.614685058594,71,5777.850510597229,92,5769.879004478455,93,5074.319612503052,63,6754.824524879456,74,8901.171191215515,115,9062.208200454712,112,6214.01823425293,71,4629.115060806274,50
volatility_regime_change_1h,2249.9422241449356,160,1131.6970291137695,78,513.3362814188004,46,2056.565402984619,98,836.8960580825806,64,767.6977303028107,60,1858.7020123004913,118,3001.374827861786,196,3154.518562436104,193,5163.909056901932,351,3228.404260635376,186,3236.252645969391,182,1950.3189730644226,106,2343.785646915436,127,1804.2108616828918,99,3121.187455177307,170,4060.68714094162,218,4986.060738325119,287,6957.951324224472,460,7839.462283849716,501,8773.581729892641,548,6879.9686670303345,411,7642.529604673386,437,7896.720449626446,448,2947.151753425598,133,3714.108555793762,161,3637.9077739715576,155,4644.056763648987,193,5700.140089035034,231,4102.780516624451,145,3860.9312953948975,149,5936.037976264954,256,5582.875582695007,225,3810.579692840576,137,3649.726499557495,119
zscore_vs_vwap_4h,4199.706645607948,226,1150.853537902236,80,1111.4916126728058,80,2796.081269264221,120,1601.5595502853394,98,1645.5092942714691,106,2955.0906920433044,168,4331.807008504868,265,6867.471586227417,344,8978.817407608032,485,4214.183034896851,180,4318.923084259033,182,3115.6006259918213,146,1834.6679992675781,94,3268.1600255966187,131,3725.2827129364014,209,4476.678205490112,247,5046.052095890045,290,9211.351476468146,617,10848.088870763779,692,11286.78644490242,676,9179.433678984642,534,9449.187268614769,529,8267.629913210869,461,3591.3030252456665,166,2864.3490777015686,124,3588.2230463027954,138,3346.3466005325317,134,4692.53054189682,192,3118.1286010742188,113,2947.438467025757,107,5460.388160705566,228,3855.352550506592,156,2128.3192071914673,76,2137.740502357483,79
